,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,5,6,39,11,11,29,43,28.0,40.0,58.0,72.0,102.0
Expenses,5,5,44,14,10,23,36,24.0,35.0,52.0,62.0,84.0
Operating Profit,1,1,-5,-3,1,6,7,4.0,5.0,6.0,10.0,17.0
OPM %,10,12,-13,-31,12,21,16,15.0,13.0,11.0,13.0,17.0
Other Income,-0,-0,9,5,1,1,2,0.0,2.0,1.0,1.0,1.0
Interest,-0,-0,0,0,0,0,0,0.0,1.0,1.0,1.0,2.0
Depreciation,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0
Profit before tax,1,1,4,2,2,7,9,4.0,6.0,7.0,10.0,14.0
Tax %,30,28,32,32,32,33,26,27.0,27.0,27.0,26.0,26.0
Net Profit,0,1,3,1,1,4,6,3.0,4.0,5.0,7.0,10.0
EPS in Rs,,,,,,,,3.8,5.85,4.73,6.99,9.8
