,Oct 2012,Oct 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5357.0,5796.0,2594.0,5795.0,6081.0,6076.0,6546.0,7731.0,8844.0,9722.0,11961.0,13798.0,13396
Expenses,4308.0,4764.0,2154.0,4925.0,5218.0,5108.0,5483.0,6407.0,7193.0,7919.0,9844.0,11365.0,10997
Operating Profit,1049.0,1033.0,440.0,870.0,863.0,969.0,1062.0,1324.0,1650.0,1803.0,2118.0,2434.0,2399
OPM %,20.0,18.0,17.0,15.0,14.0,16.0,16.0,17.0,19.0,19.0,18.0,18.0,18
Other Income,168.0,140.0,44.0,194.0,172.0,223.0,149.0,177.0,178.0,133.0,160.0,162.0,182
Interest,15.0,33.0,11.0,28.0,24.0,14.0,13.0,17.0,81.0,63.0,74.0,97.0,106
Depreciation,174.0,145.0,50.0,98.0,121.0,79.0,71.0,76.0,232.0,242.0,291.0,325.0,342
Profit before tax,1028.0,995.0,422.0,938.0,890.0,1099.0,1128.0,1407.0,1515.0,1631.0,1913.0,2173.0,2133
Tax %,23.0,25.0,28.0,28.0,29.0,28.0,26.0,24.0,22.0,25.0,25.0,25.0,
Net Profit,792.0,744.0,303.0,675.0,632.0,792.0,838.0,1073.0,1185.0,1217.0,1431.0,1638.0,1606
EPS in Rs,37.71,35.4,14.4,32.1,30.05,37.62,43.34,57.64,63.52,65.06,76.19,86.94,85.19
