,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1708.0,2047.0,2217.0,1567.0,1646.0,1668.0,912.0,1412.0,1420.0,1165.0,1563.0,1846.0,1981
Expenses,1530.0,1776.0,1945.0,1355.0,1403.0,1421.0,848.0,1266.0,1265.0,1050.0,1413.0,1697.0,1839
Operating Profit,178.0,272.0,272.0,211.0,243.0,247.0,64.0,146.0,156.0,115.0,150.0,148.0,142
OPM %,10.0,13.0,12.0,13.0,15.0,15.0,7.0,10.0,11.0,10.0,10.0,8.0,7
Other Income,4.0,5.0,4.0,15.0,7.0,4.0,86.0,6.0,-48.0,6.0,12.0,25.0,27
Interest,65.0,66.0,64.0,38.0,31.0,19.0,8.0,19.0,21.0,17.0,12.0,26.0,45
Depreciation,48.0,54.0,60.0,47.0,50.0,51.0,18.0,22.0,26.0,23.0,26.0,36.0,49
Profit before tax,68.0,157.0,153.0,141.0,170.0,181.0,124.0,111.0,61.0,81.0,125.0,111.0,75
Tax %,17.0,24.0,23.0,12.0,24.0,31.0,11.0,28.0,22.0,25.0,24.0,17.0,
Net Profit,57.0,120.0,118.0,124.0,128.0,125.0,111.0,80.0,47.0,61.0,95.0,91.0,62
EPS in Rs,4.71,9.93,9.76,10.31,10.63,10.23,9.02,6.5,3.85,4.97,7.73,7.44,5.03
