,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,511.0,546.0,546.0,557.0,607.0,739.0,455.0,788.0,557.0,446
Expenses,340.0,357.0,376.0,423.0,468.0,607.0,355.0,618.0,496.0,420
Operating Profit,171.0,189.0,170.0,134.0,139.0,132.0,100.0,171.0,61.0,25
OPM %,34.0,35.0,31.0,24.0,23.0,18.0,22.0,22.0,11.0,6
Other Income,13.0,20.0,3.0,2.0,22.0,39.0,4.0,27.0,44.0,29
Interest,21.0,16.0,9.0,6.0,4.0,7.0,3.0,4.0,4.0,5
Depreciation,21.0,21.0,22.0,23.0,27.0,26.0,23.0,21.0,21.0,21
Profit before tax,142.0,171.0,142.0,107.0,130.0,138.0,79.0,173.0,79.0,29
Tax %,30.0,34.0,35.0,35.0,37.0,25.0,31.0,28.0,28.0,
Net Profit,99.0,110.0,83.0,64.0,71.0,103.0,54.0,125.0,57.0,20
EPS in Rs,14.82,16.49,12.55,9.56,10.74,15.54,8.16,18.82,8.65,3.08
