,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.0,214.0,275.0,327.0,260.0,408.0,538.0,613
Expenses,1.0,136.0,180.0,213.0,185.0,230.0,296.0,347
Operating Profit,0.0,78.0,95.0,114.0,75.0,178.0,242.0,267
OPM %,26.0,36.0,35.0,35.0,29.0,44.0,45.0,43
Other Income,0.0,6.0,6.0,1.0,2.0,1.0,0.0,14
Interest,0.0,9.0,3.0,3.0,3.0,2.0,4.0,5
Depreciation,0.0,4.0,4.0,16.0,12.0,11.0,12.0,13
Profit before tax,0.0,71.0,94.0,96.0,62.0,166.0,226.0,263
Tax %,21.0,29.0,30.0,26.0,29.0,24.0,26.0,
Net Profit,0.0,50.0,65.0,71.0,44.0,125.0,168.0,195
EPS in Rs,8.22,37.45,24.22,26.37,16.07,30.14,40.34,46.78
