,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1695.0,1960.0,2203.0,2149.0,2029.0,2132.0,2133.0,2305.0,2083.0,2112.0,3594.0,2797.0,2755
Expenses,1679.0,1638.0,1846.0,1929.0,1804.0,1944.0,2040.0,2070.0,2019.0,1914.0,2783.0,2581.0,2694
Operating Profit,16.0,322.0,357.0,220.0,225.0,188.0,94.0,236.0,64.0,198.0,811.0,216.0,61
OPM %,1.0,16.0,16.0,10.0,11.0,9.0,4.0,10.0,3.0,9.0,23.0,8.0,2
Other Income,9.0,8.0,7.0,12.0,18.0,22.0,9.0,12.0,6.0,7.0,14.0,40.0,19
Interest,114.0,109.0,71.0,86.0,63.0,47.0,55.0,60.0,67.0,69.0,75.0,33.0,43
Depreciation,84.0,88.0,88.0,131.0,101.0,96.0,94.0,84.0,82.0,82.0,75.0,73.0,79
Profit before tax,-173.0,134.0,204.0,15.0,79.0,68.0,-46.0,104.0,-78.0,54.0,675.0,150.0,-41
Tax %,32.0,42.0,29.0,-37.0,36.0,32.0,30.0,37.0,32.0,23.0,26.0,26.0,
Net Profit,-117.0,78.0,146.0,20.0,51.0,46.0,-32.0,65.0,-53.0,41.0,502.0,111.0,-37
EPS in Rs,-32.51,21.71,40.37,5.64,14.09,12.73,-8.91,18.04,-14.7,11.47,139.11,30.69,-10.18
