,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.6,17.41,7.7,7.89,7.33,4.64,9.51,4.62,3.86,2.27,2.75
Expenses,17.66,23.17,11.49,35.48,15.16,21.52,8.9,23.97,6.67,3.51,8.29
Operating Profit,3.94,-5.76,-3.79,-27.59,-7.83,-16.88,0.61,-19.35,-2.81,-1.24,-5.54
OPM %,18.24,-33.08,-49.22,-349.68,-106.82,-363.79,6.41,-418.83,-72.8,-54.63,-201.45
Other Income,2.76,3.21,0.71,4.4,4.71,4.25,49.49,1.7,22.19,33.6,13.84
Interest,2.26,0.26,1.13,5.26,7.59,8.56,26.63,4.06,4.48,9.96,10.19
Depreciation,0.72,0.69,0.63,0.54,0.58,0.46,0.39,0.34,0.29,0.24,0.22
Profit before tax,3.72,-3.5,-4.84,-28.99,-11.29,-21.65,23.08,-22.05,14.61,22.16,-2.11
Tax %,49.73,-15.71,-2.48,-0.03,-0.71,-0.6,3.86,-0.68,2.6,0.36,
Net Profit,1.87,-4.05,-4.86,-30.8,-11.37,-21.78,22.19,-22.2,14.24,22.08,-2.62
EPS in Rs,2.51,-5.49,-6.53,-41.41,-15.29,-29.28,29.83,-29.85,13.14,20.37,-2.41
