,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.0,32.0,32.0,36.0,33.0,398.0,415.0,394.0,381.0,342.0,124.0,312.0,315
Expenses,22.0,30.0,30.0,34.0,30.0,383.0,405.0,376.0,369.0,329.0,114.0,297.0,300
Operating Profit,2.0,2.0,2.0,2.0,2.0,15.0,10.0,18.0,12.0,13.0,10.0,15.0,15
OPM %,7.0,6.0,6.0,5.0,7.0,4.0,3.0,5.0,3.0,4.0,8.0,5.0,5
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
Interest,1.0,1.0,1.0,1.0,1.0,7.0,7.0,10.0,11.0,12.0,10.0,10.0,10
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
Profit before tax,0.0,0.0,0.0,0.0,0.0,8.0,4.0,8.0,1.0,1.0,1.0,5.0,5
Tax %,25.0,33.0,41.0,50.0,16.0,40.0,34.0,23.0,23.0,22.0,31.0,27.0,
Net Profit,0.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0,1.0,0.0,1.0,4.0,4
EPS in Rs,0.02,0.02,0.01,0.01,0.05,0.53,0.27,0.55,0.07,0.02,0.04,0.15,0.14
