,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.0,77.0,255.0,274.0,171.0,135.0,244.0,282.0,361
Expenses,34.0,73.0,243.0,257.0,167.0,132.0,236.0,274.0,351
Operating Profit,1.0,4.0,13.0,17.0,4.0,3.0,8.0,9.0,10
OPM %,3.0,5.0,5.0,6.0,3.0,2.0,3.0,3.0,3
Other Income,0.0,2.0,5.0,4.0,6.0,4.0,3.0,4.0,5
Interest,1.0,3.0,8.0,8.0,6.0,3.0,3.0,3.0,3
Depreciation,1.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2
Profit before tax,-1.0,0.0,8.0,10.0,2.0,1.0,6.0,8.0,10
Tax %,6.0,35.0,34.0,33.0,21.0,23.0,27.0,23.0,
Net Profit,-0.0,0.0,5.0,7.0,2.0,1.0,4.0,6.0,7
EPS in Rs,-0.1,0.06,0.26,0.25,0.06,0.03,0.15,0.22,0.27
