,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1068.0,1180.0,1212.0,1294.0,1302.0,1527.0,1730.0,1994.0,1658.0,1499.0,2078.0,2344.0,2356
Expenses,983.0,1087.0,1105.0,1189.0,1185.0,1394.0,1575.0,1819.0,1517.0,1363.0,1928.0,2171.0,2182
Operating Profit,86.0,94.0,106.0,105.0,117.0,133.0,156.0,175.0,141.0,136.0,150.0,173.0,174
OPM %,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7
Other Income,3.0,3.0,-12.0,7.0,4.0,1.0,4.0,3.0,2.0,4.0,0.0,1.0,1
Interest,22.0,20.0,22.0,21.0,22.0,18.0,20.0,34.0,38.0,33.0,33.0,37.0,39
Depreciation,38.0,46.0,46.0,38.0,39.0,41.0,49.0,61.0,63.0,66.0,75.0,80.0,83
Profit before tax,29.0,32.0,27.0,53.0,60.0,75.0,90.0,82.0,42.0,42.0,42.0,58.0,53
Tax %,32.0,33.0,40.0,25.0,33.0,28.0,35.0,36.0,34.0,37.0,35.0,35.0,
Net Profit,20.0,22.0,17.0,40.0,40.0,54.0,59.0,52.0,28.0,26.0,27.0,37.0,34
EPS in Rs,1.81,1.99,1.53,3.7,3.68,4.97,5.44,4.82,2.59,2.41,2.54,3.45,3.18
