,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4311.0,4050.0,3447.0,3469.0,3873.0,4425.0,3703.0,4988.0,5794.0,5208
Expenses,3396.0,2688.0,2667.0,2793.0,3160.0,3283.0,2544.0,3457.0,4237.0,3675
Operating Profit,916.0,1362.0,780.0,677.0,713.0,1143.0,1159.0,1531.0,1557.0,1532
OPM %,21.0,34.0,23.0,20.0,18.0,26.0,31.0,31.0,27.0,29
Other Income,395.0,193.0,185.0,196.0,292.0,277.0,204.0,170.0,184.0,246
Interest,239.0,195.0,174.0,180.0,362.0,367.0,22.0,161.0,185.0,179
Depreciation,801.0,542.0,566.0,610.0,658.0,671.0,628.0,635.0,753.0,788
Profit before tax,270.0,818.0,226.0,82.0,-16.0,382.0,713.0,904.0,803.0,811
Tax %,28.0,4.0,19.0,-273.0,-304.0,12.0,2.0,5.0,-8.0,
Net Profit,195.0,782.0,182.0,306.0,-63.0,336.0,696.0,861.0,870.0,884
EPS in Rs,4.19,16.78,3.92,6.58,-1.35,7.22,14.94,18.47,18.68,18.97
