,Mar 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,69.0,72.0,32.0,48.0,36.0,55.0,114.0,267.0,106.0,103.0,132.0,143.0,161
Expenses,60.0,66.0,34.0,52.0,34.0,47.0,79.0,147.0,77.0,80.0,117.0,122.0,126
Operating Profit,9.0,6.0,-2.0,-4.0,2.0,8.0,35.0,120.0,29.0,23.0,15.0,21.0,35
OPM %,12.0,8.0,-7.0,-8.0,5.0,15.0,31.0,45.0,27.0,23.0,11.0,15.0,22
Other Income,0.0,15.0,12.0,14.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,2.0,1
Interest,7.0,10.0,6.0,5.0,5.0,6.0,5.0,12.0,3.0,3.0,5.0,10.0,15
Depreciation,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,8.0,12
Profit before tax,-2.0,6.0,1.0,3.0,-5.0,1.0,28.0,107.0,22.0,19.0,9.0,6.0,9
Tax %,114.0,35.0,148.0,-35.0,0.0,0.0,-11.0,29.0,34.0,15.0,30.0,44.0,
Net Profit,0.0,4.0,-1.0,4.0,-5.0,1.0,31.0,76.0,15.0,16.0,6.0,3.0,5
EPS in Rs,0.01,0.18,-0.03,0.17,-0.21,0.02,1.3,3.17,0.61,0.67,0.26,0.13,0.20
