,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,2993.0,3121.0,3180.0,3392.0,3298.0,3370.0,3584.0,3905.0,3877.0,2997.0,4192.0,4774.0,4987
Expenses,2314.0,2496.0,2492.0,2675.0,2397.0,2369.0,2551.0,2834.0,2723.0,2183.0,3125.0,3663.0,3867
Operating Profit,680.0,625.0,688.0,718.0,901.0,1001.0,1033.0,1071.0,1154.0,814.0,1067.0,1111.0,1119
OPM %,23.0,20.0,22.0,21.0,27.0,30.0,29.0,27.0,30.0,27.0,25.0,23.0,22
Other Income,63.0,70.0,106.0,47.0,90.0,86.0,84.0,84.0,64.0,62.0,47.0,67.0,81
Interest,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,7
Depreciation,25.0,27.0,30.0,36.0,39.0,45.0,46.0,56.0,70.0,87.0,83.0,81.0,88
Profit before tax,716.0,666.0,762.0,726.0,951.0,1040.0,1070.0,1098.0,1147.0,785.0,1029.0,1093.0,1105
Tax %,33.0,33.0,33.0,35.0,35.0,36.0,35.0,36.0,28.0,26.0,26.0,25.0,
Net Profit,481.0,447.0,509.0,475.0,615.0,670.0,692.0,708.0,827.0,583.0,758.0,815.0,816
EPS in Rs,4.86,4.52,5.14,4.8,6.22,6.78,6.99,7.16,8.36,5.89,7.66,8.24,8.25
