,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,450.0,451.0,440.0,770.0,778.0,748.0,1289.0,2292.0,3002.0,3430
Expenses,339.0,362.0,437.0,516.0,575.0,564.0,826.0,1366.0,1708.0,1957
Operating Profit,112.0,90.0,3.0,254.0,203.0,183.0,462.0,926.0,1294.0,1473
OPM %,25.0,20.0,1.0,33.0,26.0,24.0,36.0,40.0,43.0,43
Other Income,11.0,11.0,112.0,14.0,11.0,2.0,8.0,5.0,18.0,21
Interest,38.0,36.0,54.0,95.0,70.0,50.0,42.0,76.0,91.0,90
Depreciation,10.0,13.0,14.0,15.0,20.0,21.0,18.0,19.0,30.0,37
Profit before tax,74.0,52.0,48.0,159.0,124.0,114.0,410.0,836.0,1192.0,1367
Tax %,37.0,39.0,35.0,32.0,36.0,28.0,28.0,25.0,25.0,
Net Profit,47.0,32.0,31.0,108.0,80.0,82.0,297.0,625.0,890.0,1020
EPS in Rs,32.69,22.08,21.59,14.99,11.09,11.44,36.28,75.41,106.68,121.98
