,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,14,14,72,72,72,82,83,83,84
Reserves,332,355,375,403,459,519,1049,1502,2078,2529
Borrowings,333,358,772,1125,872,491,1171,1258,787,1555
Other Liabilities,295,411,641,767,805,1108,2511,4378,4529,6658
Total Liabilities,974,1139,1803,2367,2209,2190,4814,7220,7478,10826
Fixed Assets,121,122,123,116,134,124,115,152,187,250
CWIP,1,3,1,0,1,2,0,12,62,50
Investments,0,0,50,6,15,35,6,19,109,117
Other Assets,852,1014,1630,2246,2059,2029,4693,7037,7120,10408
Total Assets,974,1139,1803,2367,2209,2190,4814,7220,7478,10826
