,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,318,372,395.0,671.0,698.0,884.0,928.0,895.0,768.0,992.0,1110.0,1114.0,1006
Expenses,280,301,334.0,448.0,663.0,842.0,853.0,823.0,698.0,760.0,939.0,1022.0,1008
Operating Profit,38,71,61.0,223.0,35.0,42.0,74.0,72.0,71.0,231.0,171.0,93.0,-2
OPM %,12,19,15.0,33.0,5.0,5.0,8.0,8.0,9.0,23.0,15.0,8.0,-0
Other Income,2,0,1.0,1.0,6.0,5.0,5.0,3.0,5.0,8.0,60.0,137.0,26
Interest,13,10,6.0,13.0,35.0,26.0,35.0,37.0,36.0,19.0,25.0,36.0,56
Depreciation,14,13,14.0,18.0,27.0,29.0,30.0,32.0,32.0,35.0,37.0,44.0,58
Profit before tax,12,48,41.0,193.0,-21.0,-8.0,14.0,5.0,7.0,185.0,169.0,149.0,-90
Tax %,20,30,33.0,33.0,34.0,32.0,41.0,21.0,33.0,26.0,19.0,8.0,
Net Profit,10,33,28.0,129.0,-14.0,-5.0,8.0,4.0,5.0,137.0,137.0,137.0,-80
EPS in Rs,,,4.43,20.58,-2.21,-0.84,1.33,0.61,0.55,16.49,16.39,16.42,-9.54
