,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,238.0,220.0,226.0,327.0,500.0,642.0,603.0,490.0,360.0,387.0,660.0,687.0,737
Expenses,223.0,203.0,209.0,311.0,486.0,612.0,640.0,491.0,361.0,404.0,643.0,670.0,714
Operating Profit,15.0,18.0,17.0,16.0,15.0,30.0,-37.0,-1.0,-1.0,-17.0,16.0,17.0,23
OPM %,6.0,8.0,7.0,5.0,3.0,5.0,-6.0,-0.0,-0.0,-4.0,2.0,2.0,3
Other Income,2.0,3.0,8.0,5.0,5.0,21.0,33.0,29.0,27.0,311.0,58.0,62.0,57
Interest,12.0,10.0,15.0,23.0,41.0,58.0,60.0,65.0,64.0,62.0,32.0,34.0,35
Depreciation,5.0,6.0,7.0,10.0,21.0,29.0,27.0,33.0,33.0,36.0,33.0,32.0,29
Profit before tax,1.0,4.0,2.0,-12.0,-41.0,-36.0,-91.0,-70.0,-71.0,197.0,9.0,13.0,17
Tax %,-9.0,35.0,32.0,29.0,3.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,
Net Profit,-0.0,2.0,1.0,-9.0,-40.0,-36.0,-91.0,-70.0,-71.0,196.0,9.0,13.0,17
EPS in Rs,-0.58,0.33,0.52,-4.12,-18.93,-14.69,-35.4,-28.74,-29.03,60.75,2.91,4.03,5.36
