,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.5,11.25,12.25,12.25,17.64,26.34,26.34
Reserves,15.32,17.27,26.48,25.16,28.76,46.55,46.55
Borrowings,12.13,16.07,16.11,17.91,9.68,9.88,12.98
Other Liabilities,12.73,7.62,10.04,10.25,16.11,11.37,19.64
Total Liabilities,47.68,52.21,64.88,65.57,72.19,94.14,105.51
Fixed Assets,2.11,2.21,4.35,3.47,1.49,1.34,1.25
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.66,0.72,0.16,0.35,0.35,0.44,0.35
Other Assets,44.91,49.28,60.37,61.75,70.35,92.36,103.91
Total Assets,47.68,52.21,64.88,65.57,72.19,94.14,105.51
