,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,19.0,156.0,180.0,208.0,214.0,196.0,126.0,242.0,109.0,29
Expenses,0.0,21.0,165.0,191.0,231.0,237.0,209.0,136.0,248.0,144.0,46
Operating Profit,0.0,-2.0,-8.0,-12.0,-23.0,-23.0,-13.0,-9.0,-6.0,-35.0,-18
OPM %,,-10.0,-5.0,-7.0,-11.0,-11.0,-7.0,-7.0,-2.0,-32.0,-61
Other Income,0.0,0.0,44.0,5.0,2.0,0.0,0.0,3.0,16.0,0.0,-46
Interest,0.0,1.0,5.0,7.0,11.0,14.0,13.0,13.0,8.0,11.0,11
Depreciation,0.0,1.0,4.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,5
Profit before tax,0.0,-3.0,27.0,-20.0,-38.0,-44.0,-33.0,-26.0,-4.0,-52.0,-80
Tax %,,-2.0,39.0,-19.0,-6.0,3.0,-6.0,-1.0,-4.0,0.0,
Net Profit,0.0,-3.0,16.0,-23.0,-40.0,-42.0,-35.0,-26.0,-5.0,-52.0,-59
EPS in Rs,0.0,-2.89,15.34,-21.84,-37.42,-39.33,-32.18,-24.07,-4.37,-48.31,-54.99
