,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,85.0,151.0,180.0,188.0,193.0,195.0,190.0,202.0,185.0,54.0,51.0,94.0,97
Expenses,59.0,118.0,140.0,145.0,145.0,151.0,151.0,158.0,150.0,61.0,53.0,73.0,75
Operating Profit,26.0,33.0,39.0,44.0,48.0,44.0,39.0,44.0,35.0,-7.0,-2.0,21.0,22
OPM %,31.0,22.0,22.0,23.0,25.0,23.0,20.0,22.0,19.0,-13.0,-4.0,23.0,23
Other Income,16.0,24.0,17.0,6.0,15.0,6.0,6.0,8.0,6.0,7.0,-30.0,12.0,11
Interest,0.0,31.0,49.0,52.0,38.0,19.0,16.0,14.0,14.0,14.0,0.0,0.0,0
Depreciation,7.0,19.0,25.0,32.0,31.0,31.0,30.0,28.0,26.0,19.0,3.0,4.0,4
Profit before tax,36.0,8.0,-18.0,-33.0,-6.0,0.0,-2.0,10.0,1.0,-33.0,-36.0,30.0,29
Tax %,22.0,89.0,-33.0,-18.0,-17.0,914.0,-242.0,65.0,1089.0,1.0,4.0,18.0,
Net Profit,28.0,1.0,-24.0,-39.0,-7.0,-4.0,-6.0,4.0,-8.0,-33.0,-34.0,25.0,21
EPS in Rs,16.26,6.22,-4.35,-12.73,3.74,-2.02,-3.31,2.05,-4.34,-19.06,-19.94,14.19,12.39
