,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.61,5.21,1.32,2.46,2.02,1.79,2.2,2.48,1.91,1.67,2.21,2.91,2.97
Expenses,16.42,5.88,3.23,2.62,1.74,1.47,2.1,2.3,1.44,1.21,3.15,2.59,2.41
Operating Profit,-2.81,-0.67,-1.91,-0.16,0.28,0.32,0.1,0.18,0.47,0.46,-0.94,0.32,0.56
OPM %,-20.65,-12.86,-144.7,-6.5,13.86,17.88,4.55,7.26,24.61,27.54,-42.53,11.0,18.86
Other Income,0.81,0.29,0.86,0.08,0.32,0.09,-0.05,0.24,0.01,0.74,-1.71,-0.05,0.04
Interest,1.88,1.74,0.25,0.43,0.43,0.67,1.15,1.67,1.82,1.69,1.78,1.74,1.64
Depreciation,1.05,0.83,0.77,0.4,0.3,0.23,0.27,0.6,0.63,0.65,0.6,0.54,0.53
Profit before tax,-4.93,-2.95,-2.07,-0.91,-0.13,-0.49,-1.37,-1.85,-1.97,-1.14,-5.03,-2.01,-1.57
Tax %,0.0,0.0,0.0,0.0,0.0,-1971.43,0.0,-12.97,-10.66,-43.86,-1.39,-11.44,
Net Profit,-4.93,-2.95,-2.07,-0.91,-0.13,-10.15,-1.37,-2.1,-2.18,-1.65,-5.1,-2.24,-1.58
EPS in Rs,-4.29,-2.57,-1.8,-0.79,-0.11,-8.83,-1.19,-1.83,-1.9,-1.43,-4.43,-1.94,-1.37
