,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,397.0,528.0,644.0,720.0,789.0,1206.0,1597.0,1283.0,1173.0,1178.0,1179
Expenses,35.0,43.0,61.0,83.0,145.0,244.0,1142.0,758.0,1495.0,321.0,356
Operating Profit,362.0,485.0,583.0,637.0,644.0,961.0,456.0,525.0,-323.0,857.0,823
OPM %,91.0,92.0,91.0,88.0,82.0,80.0,29.0,41.0,-28.0,73.0,70
Other Income,0.0,0.0,0.0,-0.0,-1.0,-0.0,1.0,-2.0,1.0,1.0,5
Interest,192.0,258.0,289.0,312.0,326.0,564.0,863.0,709.0,540.0,580.0,605
Depreciation,1.0,1.0,1.0,2.0,5.0,18.0,30.0,34.0,35.0,40.0,35
Profit before tax,169.0,226.0,293.0,323.0,312.0,379.0,-437.0,-219.0,-896.0,239.0,187
Tax %,34.0,34.0,35.0,35.0,36.0,36.0,26.0,2.0,18.0,6.0,
Net Profit,112.0,149.0,192.0,211.0,200.0,241.0,-325.0,-214.0,-737.0,225.0,176
EPS in Rs,21.89,29.1,37.42,26.9,25.46,26.1,-35.11,-17.3,-54.12,16.55,12.95
