,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,332,370.0,409.0,400.0,421.0,393.0,275.0,324.0,377.0,399
Expenses,296,352.0,425.0,399.0,408.0,338.0,248.0,305.0,395.0,397
Operating Profit,37,18.0,-16.0,1.0,13.0,56.0,27.0,19.0,-19.0,2
OPM %,11,5.0,-4.0,0.0,3.0,14.0,10.0,6.0,-5.0,1
Other Income,11,12.0,10.0,9.0,4.0,9.0,15.0,12.0,5.0,4
Interest,4,4.0,5.0,7.0,9.0,22.0,19.0,21.0,42.0,40
Depreciation,12,17.0,20.0,24.0,29.0,75.0,60.0,78.0,61.0,63
Profit before tax,32,9.0,-31.0,-20.0,-21.0,-33.0,-37.0,-68.0,-116.0,-96
Tax %,0,0.0,8.0,2.0,26.0,-64.0,0.0,0.0,0.0,
Net Profit,32,9.0,-28.0,-20.0,-16.0,-54.0,-37.0,-68.0,-116.0,-96
EPS in Rs,,6.82,-22.23,-16.22,-12.22,-41.66,-29.1,-52.69,-89.15,-73.41
