,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,40.0,45.0,55.0,62.0,70.0,86.0,109.0,110.0,60.0,53.0,62.0,72.0,69
Expenses,36.0,39.0,47.0,51.0,56.0,68.0,80.0,90.0,53.0,47.0,56.0,63.0,59
Operating Profit,3.0,6.0,7.0,10.0,14.0,19.0,29.0,20.0,7.0,7.0,7.0,10.0,10
OPM %,9.0,14.0,13.0,17.0,20.0,22.0,26.0,18.0,11.0,13.0,11.0,13.0,15
Other Income,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,5.0,6
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,3.0,7.0,8.0,11.0,15.0,20.0,30.0,22.0,10.0,10.0,9.0,13.0,15
Tax %,34.0,31.0,33.0,34.0,35.0,35.0,35.0,30.0,24.0,32.0,27.0,26.0,
Net Profit,2.0,4.0,5.0,7.0,10.0,13.0,20.0,15.0,8.0,7.0,6.0,10.0,11
EPS in Rs,1.74,3.56,4.03,5.72,7.83,10.52,15.49,12.17,5.97,5.32,5.02,7.76,8.93
