,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,16.0,31.0,45.0,64.0,57.0,58.0,79.0
Expenses,14.0,20.0,31.0,40.0,40.0,32.0,48.0
Operating Profit,1.0,11.0,14.0,24.0,16.0,26.0,31.0
OPM %,8.0,36.0,31.0,38.0,28.0,45.0,39.0
Other Income,0.0,0.0,1.0,3.0,4.0,4.0,7.0
Interest,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Depreciation,0.0,0.0,1.0,1.0,1.0,3.0,4.0
Profit before tax,1.0,11.0,14.0,26.0,19.0,26.0,33.0
Tax %,38.0,29.0,24.0,16.0,18.0,18.0,16.0
Net Profit,1.0,8.0,11.0,22.0,16.0,21.0,27.0
EPS in Rs,7.2,3.69,5.2,10.61,7.59,10.14,13.12
