,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1482.0,1513.0,1611.0,1946.0,2336.0,1943.0,1864.0,2324.0,2909.0,3201
Expenses,1343.0,1372.0,1466.0,1743.0,2091.0,1757.0,1686.0,2130.0,2663.0,2914
Operating Profit,139.0,141.0,146.0,203.0,245.0,187.0,177.0,193.0,246.0,287
OPM %,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,9
Other Income,6.0,1.0,7.0,4.0,6.0,10.0,11.0,6.0,11.0,17
Interest,41.0,42.0,43.0,43.0,24.0,20.0,16.0,18.0,36.0,44
Depreciation,52.0,55.0,58.0,68.0,81.0,98.0,94.0,100.0,122.0,135
Profit before tax,51.0,45.0,52.0,97.0,145.0,78.0,78.0,81.0,100.0,124
Tax %,25.0,25.0,20.0,32.0,34.0,27.0,26.0,31.0,27.0,
Net Profit,38.0,34.0,42.0,66.0,96.0,57.0,58.0,56.0,74.0,94
EPS in Rs,7.48,6.54,8.07,10.8,15.81,9.45,9.59,9.26,12.12,15.40
