,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,992.0,1213.0,1241.0,1143.0,1392.0,1442.0,1060
Expenses,0.0,185.0,233.0,247.0,226.0,242.0,634.0,215
Operating Profit,0.0,807.0,979.0,993.0,917.0,1150.0,808.0,845
OPM %,,81.0,81.0,80.0,80.0,83.0,56.0,80
Other Income,0.0,13.0,21.0,30.0,18.0,9.0,20.0,7
Interest,0.0,100.0,160.0,164.0,146.0,142.0,193.0,257
Depreciation,0.0,487.0,641.0,685.0,608.0,681.0,261.0,208
Profit before tax,0.0,233.0,199.0,173.0,181.0,336.0,374.0,387
Tax %,,0.0,1.0,0.0,-0.0,10.0,1.0,
Net Profit,0.0,232.0,198.0,173.0,181.0,303.0,370.0,382
EPS in Rs,,4.0,3.41,2.98,3.12,5.21,6.37,6.59
