,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,120.0,1283.0,986.0,871.0,884.0,999.0,830.0,1234
Expenses,10.0,988.0,736.0,654.0,668.0,840.0,742.0,1105
Operating Profit,110.0,295.0,250.0,217.0,216.0,159.0,87.0,129
OPM %,91.0,23.0,25.0,25.0,24.0,16.0,11.0,10
Other Income,19.0,42.0,73.0,48.0,67.0,175.0,165.0,156
Interest,21.0,25.0,13.0,7.0,9.0,7.0,11.0,16
Depreciation,37.0,42.0,42.0,42.0,41.0,7.0,8.0,8
Profit before tax,70.0,271.0,268.0,216.0,232.0,319.0,233.0,261
Tax %,20.0,24.0,28.0,17.0,22.0,19.0,20.0,
Net Profit,56.0,206.0,193.0,179.0,182.0,264.0,187.0,191
EPS in Rs,0.63,2.31,17.16,16.28,16.53,23.99,17.36,17.76
