,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,51.0,40.0,30.0,40.0,48.0,48.0,75.0,76.0,132.0,178.0,200.0,175.0,162
Expenses,50.0,40.0,29.0,24.0,27.0,37.0,50.0,42.0,80.0,138.0,156.0,157.0,156
Operating Profit,1.0,-0.0,1.0,16.0,21.0,10.0,24.0,34.0,53.0,41.0,44.0,18.0,5
OPM %,2.0,-1.0,4.0,40.0,43.0,21.0,32.0,45.0,40.0,23.0,22.0,10.0,3
Other Income,0.0,1.0,-1.0,1.0,2.0,3.0,1.0,9.0,5.0,4.0,1.0,4.0,8
Interest,1.0,0.0,0.0,0.0,1.0,1.0,9.0,22.0,35.0,29.0,33.0,36.0,31
Depreciation,6.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,5.0,6.0,6
Profit before tax,-6.0,-5.0,-4.0,16.0,21.0,11.0,15.0,21.0,21.0,12.0,7.0,-21.0,-24
Tax %,-18.0,-24.0,-25.0,16.0,16.0,25.0,21.0,25.0,30.0,31.0,46.0,1.0,
Net Profit,-7.0,-6.0,-5.0,13.0,17.0,8.0,12.0,16.0,14.0,9.0,4.0,-20.0,-23
EPS in Rs,-3.38,-2.81,-2.43,4.42,4.59,2.36,3.66,4.92,4.0,2.54,2.18,-5.96,-7.78
