,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.87,2.49,7.08,14.28,3.95,6.26,12.54,21.13,17.51,4.82,3.89,6.5,14.05
Expenses,12.95,2.38,7.11,18.26,4.33,8.15,15.08,23.85,17.56,3.76,4.68,6.04,12.38
Operating Profit,-0.08,0.11,-0.03,-3.98,-0.38,-1.89,-2.54,-2.72,-0.05,1.06,-0.79,0.46,1.67
OPM %,-0.62,4.42,-0.42,-27.87,-9.62,-30.19,-20.26,-12.87,-0.29,21.99,-20.31,7.08,11.89
Other Income,0.1,0.0,-0.21,-0.03,0.01,0.0,0.25,0.34,0.51,0.29,0.56,2.53,3.89
Interest,0.01,0.0,0.0,0.0,0.0,0.03,0.23,0.18,0.14,0.11,0.0,0.0,0.07
Depreciation,0.82,0.18,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,-0.81,-0.07,-0.38,-4.02,-0.37,-1.92,-2.52,-2.56,0.32,1.24,-0.23,2.99,5.49
Tax %,0.0,28.57,110.53,-0.25,0.0,0.0,-1.59,-4.69,15.62,-9.68,-69.57,18.39,
Net Profit,-0.81,-0.05,0.04,-4.03,-0.37,-1.92,-2.56,-2.69,0.27,1.36,-0.39,2.43,4.33
EPS in Rs,-0.04,-0.0,0.0,-0.18,-0.02,-0.09,-0.11,-0.12,0.01,0.06,-0.02,0.11,0.19
