,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,80.0,99.0,115.0,110.0,153.0,173.0,206.0,218.0,202.0,289.0,437.0,420
Expenses,71.0,89.0,103.0,105.0,144.0,164.0,195.0,209.0,192.0,275.0,418.0,405
Operating Profit,8.0,10.0,12.0,5.0,9.0,10.0,11.0,9.0,10.0,13.0,19.0,16
OPM %,11.0,10.0,10.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,4
Other Income,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1
Interest,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,7.0,8.0,10.0,4.0,7.0,10.0,10.0,7.0,10.0,12.0,16.0,14
Tax %,34.0,43.0,34.0,31.0,25.0,19.0,15.0,-3.0,-2.0,1.0,7.0,
Net Profit,4.0,5.0,6.0,3.0,5.0,8.0,9.0,7.0,10.0,12.0,15.0,12
EPS in Rs,139.68,152.58,207.1,81.61,172.9,5.26,5.84,4.86,7.08,8.16,9.81,8.14
