,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,3,15,15,15,15,15,15,15
Reserves,17,21,26,27,32,48,55,62,70,80,93,96
Borrowings,12,11,9,9,15,4,8,10,4,6,3,11
Other Liabilities,12,14,14,12,17,16,28,32,31,48,47,39
Total Liabilities,43,49,53,52,67,83,106,118,120,149,158,161
Fixed Assets,10,9,9,7,7,7,12,11,10,10,10,10
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,1,0,0,0,0,0,0,0,0,0,0,0
Other Assets,33,39,44,44,60,76,94,106,109,138,148,150
Total Assets,43,49,53,52,67,83,106,118,120,149,158,161
