,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.65,0.57,4.7,4.7,0.95,0.21,0.01,0.24,5.48,1.13,0.95,0.07,0.07
Expenses,0.93,0.79,4.6,4.46,1.54,0.61,0.57,0.75,5.67,1.53,1.27,0.32,0.53
Operating Profit,-0.28,-0.22,0.1,0.24,-0.59,-0.4,-0.56,-0.51,-0.19,-0.4,-0.32,-0.25,-0.46
OPM %,-43.08,-38.6,2.13,5.11,-62.11,-190.48,-5600.0,-212.5,-3.47,-35.4,-33.68,-357.14,-657.14
Other Income,0.5,0.12,-0.1,0.0,0.06,0.41,0.43,0.46,0.21,0.31,0.14,0.06,0.07
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.2,-0.12,-0.02,0.22,-0.54,0.01,-0.13,-0.05,0.02,-0.09,-0.18,-0.19,-0.39
Tax %,10.0,-25.0,-150.0,13.64,-1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,0.18,-0.15,-0.04,0.19,-0.56,0.0,-0.13,-0.05,0.02,-0.09,-0.18,-0.2,-0.40
EPS in Rs,0.18,-0.15,-0.04,0.19,-0.56,0.0,-0.13,-0.05,0.02,-0.09,-0.18,-0.2,-0.40
