,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5263.0,6358.0,7224.0,8651.0,9427.0,9376.0,11905.0,13166.0,14253.0,14404.0,15110.0,17237.0,18776
Expenses,4177.0,5228.0,6021.0,6896.0,7095.0,7474.0,9074.0,10174.0,11455.0,11013.0,11768.0,13378.0,13913
Operating Profit,1086.0,1130.0,1203.0,1756.0,2332.0,1902.0,2831.0,2991.0,2798.0,3391.0,3342.0,3860.0,4863
OPM %,21.0,18.0,17.0,20.0,25.0,20.0,24.0,23.0,20.0,24.0,22.0,22.0,26
Other Income,49.0,32.0,30.0,45.0,112.0,127.0,111.0,183.0,-264.0,-231.0,2581.0,-422.0,-453
Interest,183.0,169.0,90.0,68.0,53.0,45.0,91.0,194.0,342.0,159.0,127.0,130.0,87
Depreciation,158.0,185.0,201.0,287.0,292.0,373.0,539.0,599.0,696.0,670.0,713.0,723.0,724
Profit before tax,794.0,809.0,942.0,1446.0,2099.0,1612.0,2312.0,2382.0,1495.0,2331.0,5084.0,2585.0,3598
Tax %,14.0,15.0,11.0,18.0,8.0,8.0,24.0,22.0,21.0,8.0,10.0,23.0,
Net Profit,681.0,690.0,836.0,1188.0,1964.0,1517.0,1810.0,1899.0,1204.0,2185.0,4618.0,2092.0,2926
EPS in Rs,6.37,6.38,7.85,11.24,18.89,14.53,17.35,18.06,11.49,20.84,43.83,19.37,27.73
