,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,21,22,22,22,22,22,22,20,20,20,21,22,22
Reserves,92,127,126,131,136,145,153,151,184,235,313,397,418
Borrowings,37,43,28,18,6,5,1,0,23,1,70,55,7
Other Liabilities,25,23,25,24,21,19,30,23,37,67,64,46,111
Total Liabilities,175,215,201,194,185,191,205,195,265,324,468,520,558
Fixed Assets,74,87,80,93,83,81,80,69,77,77,160,175,176
CWIP,1,0,9,2,0,1,0,1,2,0,0,7,9
Investments,18,30,21,8,8,8,0,0,18,17,39,80,84
Other Assets,83,98,91,92,94,100,125,125,167,229,268,259,289
Total Assets,175,215,201,194,185,191,205,195,265,324,468,520,558
