,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,282.0,281.0,272.0,236.0,209.0,186.0,247.0,410.0,383.0,324.0,494.0,482.0,614
Expenses,275.0,272.0,264.0,227.0,202.0,179.0,239.0,401.0,371.0,312.0,481.0,467.0,598
Operating Profit,7.0,9.0,8.0,10.0,7.0,7.0,7.0,8.0,12.0,12.0,13.0,15.0,16
OPM %,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3
Other Income,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Interest,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,7
Depreciation,2.0,2.0,3.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7
Profit before tax,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4
Tax %,4.0,33.0,26.0,76.0,-3.0,38.0,35.0,32.0,5.0,24.0,10.0,22.0,
Net Profit,3.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,4
EPS in Rs,1.81,1.31,1.49,0.14,0.91,0.59,0.86,1.15,1.67,1.41,1.75,1.58,2.19
