,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,494.26,722.9,182.78,15.1,0.81,1.13,-3.30,0.54,0.21,1.17,0.00,0.00,0.0
Expenses,593.03,840.67,227.05,52.96,22.13,17.52,12.55,6.61,6.0,5.04,6.63,5.16,4.83
Operating Profit,-98.77,-117.77,-44.27,-37.86,-21.32,-16.39,-15.85,-6.07,-5.79,-3.87,-6.63,-5.16,-4.83
OPM %,-19.98,-16.29,-24.22,-250.73,-2632.1,-1450.44,,-1124.07,-2757.14,-330.77,,,
Other Income,107.45,90.65,108.46,5.88,1.53,12.22,88.35,35.52,5.88,11.01,27.61,4.79,2.09
Interest,20.29,30.89,56.45,7.82,10.36,10.3,8.80,1.65,0.05,0.09,0.02,0.13,0.04
Depreciation,21.79,21.97,8.44,2.1,1.89,1.56,1.43,1.2,0.88,0.82,0.61,0.53,0.5
Profit before tax,-33.4,-79.98,-0.7,-41.9,-32.04,-16.03,62.27,26.6,-0.84,6.23,20.35,-1.03,-3.2800000000000002
Tax %,10.33,10.98,-338.57,0.0,0.0,0.0,9.14,-0.41,2.38,39.65,8.30,103.88,
Net Profit,-29.96,-71.2,-3.07,-41.9,-32.04,-16.03,56.58,26.71,-0.83,3.76,18.65,0.05,-2.81
EPS in Rs,-1.73,-3.85,-0.17,-2.01,-1.54,-0.77,2.71,1.28,-0.04,0.18,0.89,0.00,-0.14
