,Mar 2008,Mar 2009,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,444.0,504.0,721.0,653.0,518.0,607.0,709.0,760
Expenses,426.0,483.0,691.0,644.0,491.0,581.0,682.0,725
Operating Profit,18.0,20.0,30.0,10.0,28.0,26.0,27.0,35
OPM %,4.0,4.0,4.0,1.0,5.0,4.0,4.0,5
Other Income,1.0,4.0,5.0,3.0,2.0,19.0,6.0,5
Interest,12.0,15.0,25.0,29.0,23.0,19.0,16.0,18
Depreciation,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5
Profit before tax,6.0,7.0,6.0,-21.0,2.0,22.0,12.0,17
Tax %,34.0,38.0,26.0,33.0,35.0,-29.0,26.0,
Net Profit,4.0,4.0,5.0,-14.0,1.0,28.0,9.0,13
EPS in Rs,49.58,54.39,50.86,-150.96,16.19,16.46,3.9,5.47
