,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,112.47,111.95,111.95,111.95,111.92,111.92,111.92,111.92,111.92,111.92,111.92,111.92
Reserves,125.88,128.6,150.77,157.35,137.2,141.85,159.66,159.44,191.15,226.28,218.33,242.57
Preference Capital,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Borrowings,2.25,2.25,13.25,9.39,5.92,4.12,0.73,0.16,0.0,0.0,4.0,0.0
Other Liabilities,8.23,34.48,17.92,22.01,16.13,13.01,11.76,9.52,9.07,17.9,12.21,30.91
Total Liabilities,248.83,277.28,293.89,300.7,271.17,270.9,284.07,281.04,312.14,356.1,346.46,385.4
Fixed Assets,17.19,5.08,42.76,43.73,85.71,84.66,84.29,76.44,76.89,76.81,76.61,91.31
CWIP,0.0,13.51,0.0,0.0,0.0,44.02,44.02,44.02,44.02,0.0,0.0,0.0
Investments,4.33,34.92,42.63,46.26,64.16,65.89,81.37,69.96,89.93,147.55,177.2,208.85
Other Assets,227.31,223.77,208.5,210.71,121.3,76.33,74.39,90.62,101.3,131.74,92.65,85.24
Total Assets,248.83,277.28,293.89,300.7,271.17,270.9,284.07,281.04,312.14,356.1,346.46,385.4
