,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,TTM
Sales,687.0,798.0,867.0,940.0,993.0,698.0,849.0,927.0,1356.0,1009.0,1114.0,1230.0,1237
Expenses,582.0,721.0,809.0,855.0,877.0,621.0,701.0,723.0,1037.0,762.0,846.0,905.0,914
Operating Profit,106.0,77.0,59.0,85.0,116.0,77.0,148.0,204.0,319.0,246.0,268.0,325.0,323
OPM %,15.0,10.0,7.0,9.0,12.0,11.0,17.0,22.0,24.0,24.0,24.0,26.0,26
Other Income,20.0,21.0,20.0,22.0,24.0,74.0,768.0,48.0,66.0,18.0,13.0,18.0,21
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
Depreciation,9.0,10.0,13.0,23.0,25.0,19.0,21.0,17.0,29.0,30.0,27.0,28.0,27
Profit before tax,117.0,88.0,67.0,83.0,115.0,132.0,895.0,234.0,355.0,233.0,253.0,314.0,316
Tax %,33.0,37.0,35.0,36.0,31.0,29.0,6.0,32.0,28.0,24.0,24.0,27.0,
Net Profit,78.0,56.0,43.0,54.0,79.0,94.0,839.0,159.0,254.0,177.0,193.0,229.0,231
EPS in Rs,47.23,33.66,26.04,32.27,47.67,56.57,505.27,95.64,153.07,106.51,115.98,138.24,139.39
