,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,0.08,0.83,14.16,44.84,32.42,32.38,48.55,1.6,9.36,25.28,26.86
Expenses,0.0,0.01,0.06,0.6,13.85,44.19,31.61,31.24,46.69,1.99,6.1,19.35,20.32
Operating Profit,0.0,-0.01,0.02,0.23,0.31,0.65,0.81,1.14,1.86,-0.39,3.26,5.93,6.54
OPM %,,,25.0,27.71,2.19,1.45,2.5,3.52,3.83,-24.38,34.83,23.46,24.35
Other Income,0.0,0.01,0.0,0.18,0.24,0.26,0.16,0.23,0.16,0.6,1.05,0.32,0.03
Interest,0.0,0.0,0.0,0.0,0.0,0.26,0.27,0.04,0.05,0.06,0.06,0.07,0.04
Depreciation,0.0,0.0,0.0,0.01,0.04,0.02,0.01,0.09,0.14,0.19,0.19,0.23,0.21
Profit before tax,0.0,0.0,0.02,0.4,0.51,0.63,0.69,1.24,1.83,-0.04,4.06,5.95,6.32
Tax %,,,50.0,30.0,33.33,31.75,26.09,26.61,26.23,-400.0,25.37,25.21,
Net Profit,0.0,0.0,0.01,0.28,0.34,0.44,0.51,0.91,1.35,-0.19,3.03,4.45,3.81
EPS in Rs,,,0.02,0.13,0.11,0.15,0.17,0.31,0.46,-0.06,1.02,1.5,1.28
