,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,138.0,158.0,193.0,175.0,217.0,293.0,297.0,255
Expenses,122.0,136.0,167.0,151.0,189.0,264.0,263.0,228
Operating Profit,16.0,22.0,26.0,24.0,28.0,29.0,34.0,27
OPM %,11.0,14.0,13.0,14.0,13.0,10.0,12.0,11
Other Income,6.0,3.0,1.0,4.0,6.0,7.0,2.0,4
Interest,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2
Depreciation,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6
Profit before tax,15.0,19.0,20.0,20.0,26.0,29.0,29.0,23
Tax %,29.0,61.0,26.0,23.0,30.0,28.0,28.0,
Net Profit,11.0,7.0,15.0,15.0,18.0,21.0,21.0,17
EPS in Rs,9.3,4.7,8.24,9.73,10.15,12.15,11.47,9.72
