,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.69,37.78,13.72,27.08,42.8,57.48,76.97,62.14,14.63,1.85,2.05,2.14,2.21
Expenses,32.57,40.5,14.34,25.71,40.24,54.34,74.98,60.29,37.56,2.7,2.34,2.34,2.35
Operating Profit,-1.88,-2.72,-0.62,1.37,2.56,3.14,1.99,1.85,-22.93,-0.85,-0.29,-0.2,-0.14
OPM %,-6.13,-7.2,-4.52,5.06,5.98,5.46,2.59,2.98,-156.73,-45.95,-14.15,-9.35,-6.33
Other Income,0.03,0.01,0.01,1.0,0.08,0.7,0.48,0.14,8.37,0.17,0.02,0.02,0.00
Interest,2.74,2.02,0.24,1.1,0.34,0.3,0.33,0.25,0.23,0.0,0.0,0.0,0.00
Depreciation,0.11,0.14,0.12,0.39,0.48,0.53,0.63,0.68,0.62,0.55,0.55,0.55,0.54
Profit before tax,-4.7,-4.87,-0.97,0.88,1.82,3.01,1.51,1.06,-15.41,-1.23,-0.82,-0.73,-0.68
Tax %,6.6,-5.13,87.63,-15.91,34.62,32.56,33.11,5.66,0.06,2.44,4.88,10.96,
Net Profit,-4.4,-5.12,-0.11,1.02,1.19,2.03,1.01,1.0,-15.4,-1.21,-0.78,-0.65,-0.64
EPS in Rs,-5.22,-6.07,-0.22,1.13,0.7,1.19,0.59,0.58,-9.01,-0.71,-0.46,-0.38,-0.38
