,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.0,31.0,85.0,105.0,130.0,156.0,115.0,128.0,312.0,356
Expenses,3.0,22.0,64.0,76.0,110.0,132.0,96.0,117.0,299.0,327
Operating Profit,-1.0,9.0,21.0,29.0,21.0,24.0,19.0,11.0,13.0,29
OPM %,-27.0,28.0,25.0,28.0,16.0,15.0,17.0,9.0,4.0,8
Other Income,2.0,0.0,2.0,4.0,8.0,7.0,3.0,9.0,-40.0,0
Interest,0.0,0.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,2
Depreciation,0.0,3.0,1.0,4.0,4.0,5.0,4.0,9.0,8.0,8
Profit before tax,1.0,5.0,20.0,26.0,22.0,23.0,15.0,8.0,-38.0,20
Tax %,64.0,29.0,35.0,16.0,35.0,38.0,24.0,66.0,8.0,
Net Profit,0.0,4.0,13.0,22.0,14.0,14.0,11.0,3.0,-35.0,17
EPS in Rs,0.03,0.26,0.93,1.52,0.98,0.98,0.69,0.17,-1.5,0.75
