,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2173.0,2954.0,6236.0,8249.0,7926.0,9677.0,11907.0,12443.0,5449.0,9233.0,9470.0,8396
Expenses,1663.0,2229.0,4769.0,6123.0,6313.0,7995.0,8728.0,10526.0,4066.0,7047.0,7406.0,6483
Operating Profit,510.0,724.0,1467.0,2126.0,1614.0,1682.0,3179.0,1917.0,1383.0,2186.0,2064.0,1913
OPM %,23.0,25.0,24.0,26.0,20.0,17.0,27.0,15.0,25.0,24.0,22.0,23
Other Income,145.0,124.0,423.0,510.0,584.0,285.0,72.0,119.0,-140.0,293.0,-1037.0,205
Interest,283.0,254.0,492.0,988.0,736.0,390.0,568.0,740.0,1136.0,688.0,482.0,482
Depreciation,17.0,37.0,128.0,450.0,460.0,395.0,194.0,292.0,73.0,75.0,93.0,105
Profit before tax,355.0,556.0,1269.0,1198.0,1001.0,1182.0,2489.0,1003.0,33.0,1716.0,452.0,1531
Tax %,26.0,32.0,37.0,41.0,42.0,33.0,34.0,26.0,-44.0,30.0,-8.0,
Net Profit,264.0,381.0,798.0,703.0,584.0,794.0,1644.0,742.0,48.0,1208.0,490.0,1533
EPS in Rs,5.97,8.83,18.46,16.25,12.91,10.03,20.66,9.19,0.51,12.49,5.05,15.87
