,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,944.0,1068.0,1135.0,1421.0,1583.0,1400.0,960.0,1031.0,814.0,262.0,373.0,681.0,471
Expenses,730.0,839.0,835.0,1073.0,1261.0,1059.0,632.0,735.0,913.0,423.0,405.0,800.0,597
Operating Profit,214.0,228.0,300.0,349.0,321.0,341.0,328.0,296.0,-99.0,-161.0,-32.0,-120.0,-126
OPM %,23.0,21.0,26.0,25.0,20.0,24.0,34.0,29.0,-12.0,-61.0,-8.0,-18.0,-27
Other Income,26.0,4.0,10.0,21.0,44.0,45.0,50.0,108.0,-1433.0,104.0,93.0,76.0,54
Interest,22.0,9.0,38.0,40.0,35.0,55.0,81.0,77.0,71.0,106.0,55.0,69.0,56
Depreciation,6.0,6.0,5.0,7.0,9.0,10.0,10.0,9.0,12.0,10.0,7.0,7.0,6
Profit before tax,212.0,217.0,267.0,323.0,321.0,322.0,287.0,318.0,-1615.0,-173.0,-1.0,-120.0,-135
Tax %,30.0,28.0,28.0,24.0,25.0,24.0,20.0,16.0,13.0,-5.0,-697.0,-0.0,
Net Profit,149.0,156.0,193.0,247.0,242.0,243.0,231.0,266.0,-1401.0,-181.0,-9.0,-120.0,-135
EPS in Rs,16.12,16.81,21.71,26.71,25.5,27.43,24.15,28.17,-146.94,-18.8,-0.79,-12.15,-13.40
