,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7444.0,8579.0,9484.0,9674.0,10110.0,11286.0,13540.0,14040
Expenses,5550.0,6543.0,7542.0,7591.0,7340.0,8855.0,10670.0,11490
Operating Profit,1894.0,2036.0,1942.0,2083.0,2770.0,2431.0,2870.0,2550
OPM %,25.0,24.0,20.0,22.0,27.0,22.0,21.0,18
Other Income,296.0,274.0,235.0,217.0,145.0,166.0,-10.0,610
Interest,856.0,708.0,542.0,415.0,303.0,202.0,234.0,317
Depreciation,1226.0,1213.0,1296.0,1528.0,1250.0,1235.0,1305.0,1461
Profit before tax,108.0,389.0,339.0,357.0,1362.0,1160.0,1321.0,1382
Tax %,69.0,25.0,-3.0,33.0,13.0,27.0,18.0,
Net Profit,44.0,291.0,349.0,238.0,1183.0,845.0,1079.0,1094
EPS in Rs,8800.0,58400.0,15.96,11.61,62.58,43.55,55.21,55.52
