,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,359.0,460.0,535.0,611.0,749.0,799.0,772.0,626.0,591.0,660.0,623
Expenses,321.0,448.0,482.0,544.0,670.0,740.0,737.0,619.0,540.0,586.0,554
Operating Profit,38.0,12.0,53.0,67.0,79.0,59.0,35.0,7.0,51.0,75.0,69
OPM %,11.0,3.0,10.0,11.0,10.0,7.0,5.0,1.0,9.0,11.0,11
Other Income,3.0,7.0,4.0,4.0,8.0,6.0,6.0,16.0,14.0,17.0,17
Interest,17.0,19.0,15.0,15.0,14.0,14.0,33.0,27.0,24.0,31.0,31
Depreciation,7.0,19.0,16.0,16.0,16.0,18.0,42.0,39.0,34.0,38.0,40
Profit before tax,17.0,-19.0,26.0,41.0,57.0,33.0,-34.0,-43.0,8.0,23.0,15
Tax %,34.0,2.0,2.0,24.0,33.0,36.0,8.0,24.0,17.0,22.0,
Net Profit,11.0,-19.0,25.0,31.0,38.0,21.0,-31.0,-33.0,6.0,18.0,13
EPS in Rs,9.04,-10.79,14.59,17.71,21.1,11.78,-17.37,-18.32,3.59,9.74,7.00
