,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,617.0,742.0,775.0,847.0,1052.0,921.0,1073.0,1245.0,1404.0,1574.0,1804.0,1845.0,1980.0
Expenses,1052.0,1262.0,1195.0,1212.0,1493.0,1711.0,1773.0,1877.0,1974.0,1932.0,1945.0,2140.0,2246.0
Operating Profit,-435.0,-519.0,-420.0,-365.0,-442.0,-790.0,-700.0,-632.0,-570.0,-358.0,-141.0,-296.0,-266.0
OPM %,-70.0,-70.0,-54.0,-43.0,-42.0,-86.0,-65.0,-51.0,-41.0,-23.0,-8.0,-16.0,-13.0
Other Income,94.0,39.0,90.0,16.0,36.0,78.0,108.0,101.0,86.0,47.0,102.0,125.0,125.0
Interest,7.0,8.0,9.0,9.0,10.0,12.0,7.0,5.0,5.0,5.0,6.0,6.0,7.0
Depreciation,42.0,32.0,47.0,37.0,46.0,56.0,90.0,93.0,100.0,120.0,158.0,156.0,176.0
Profit before tax,-390.0,-520.0,-387.0,-395.0,-461.0,-780.0,-689.0,-628.0,-589.0,-436.0,-203.0,-333.0,-324.0
Tax %,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-390.0,-520.0,-387.0,-395.0,-461.0,-780.0,-689.0,-628.0,-589.0,-436.0,-203.0,-333.0,-324.0
EPS in Rs,-64.55,-85.95,-64.0,-6.52,-7.56,-12.03,-10.63,-9.68,-9.07,-6.71,-3.21,-5.25,-5.1
