,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,449.0,625.0,2982.0,3050.0,3115.0,2667.0,3892.0,6028.0,7203
Expenses,2169.0,2389.0,4685.0,7164.0,5580.0,4344.0,6188.0,7729.0,8264
Operating Profit,-1720.0,-1764.0,-1703.0,-4114.0,-2465.0,-1677.0,-2296.0,-1701.0,-1061
OPM %,-383.0,-282.0,-57.0,-135.0,-79.0,-63.0,-59.0,-28.0,-15
Other Income,234.0,932.0,308.0,251.0,-175.0,310.0,239.0,336.0,400
Interest,1.0,4.0,28.0,20.0,50.0,36.0,40.0,22.0,25
Depreciation,25.0,39.0,69.0,76.0,143.0,157.0,228.0,470.0,610
Profit before tax,-1512.0,-876.0,-1491.0,-3960.0,-2833.0,-1560.0,-2325.0,-1856.0,-1296
Tax %,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,
Net Profit,-1510.0,-880.0,-1490.0,-3960.0,-2833.0,-1560.0,-2325.0,-1856.0,-1296
EPS in Rs,-326.66,-187.18,-269.39,-688.2,-468.78,-257.93,-35.85,-29.28,-20.27
