,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,1.12,19.63,35.61,71.45,168.77,212.88,202.28,383.35,122.2,0.00,7.46
Expenses,0.0,1.43,18.36,33.57,69.02,164.28,203.99,193.58,374.22,122.06,2.41,8.67
Operating Profit,0.0,-0.31,1.27,2.04,2.43,4.49,8.89,8.7,9.13,0.14,-2.41,-1.21
OPM %,,-27.68,6.47,5.73,3.4,2.66,4.18,4.3,2.38,0.11,,-16.22
Other Income,0.0,0.01,0.06,0.07,0.19,0.29,0.06,0.79,0.42,1.72,-0.04,0.11
Interest,0.0,0.18,0.42,0.81,1.04,0.92,1.26,1.06,0.83,0.87,0.57,0.09
Depreciation,0.0,0.14,0.41,0.22,0.45,0.66,1.77,2.35,2.63,2.88,2.25,2.01
Profit before tax,0.0,-0.62,0.5,1.08,1.13,3.2,5.92,6.08,6.09,-1.89,-5.27,-3.20
Tax %,,0.0,30.0,32.41,25.66,25.94,38.51,26.64,26.6,-29.1,16.32,
Net Profit,0.0,-0.62,0.35,0.73,0.84,2.37,3.64,4.45,4.47,-2.44,-4.41,-3.21
EPS in Rs,0.0,-0.69,0.19,0.3,0.34,0.96,1.48,1.64,1.65,-0.9,-1.62,-1.18
