,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1074.0,1047.0,1076.0,1376.0,1569.0,1534.0,1768.0,3084.0,2797.0,2769
Expenses,988.0,966.0,957.0,1222.0,1414.0,1418.0,1548.0,2713.0,2548.0,2538
Operating Profit,86.0,80.0,119.0,154.0,155.0,117.0,220.0,371.0,248.0,232
OPM %,8.0,8.0,11.0,11.0,10.0,8.0,12.0,12.0,9.0,8
Other Income,1.0,2.0,2.0,3.0,6.0,30.0,4.0,15.0,12.0,19
Interest,26.0,19.0,11.0,12.0,19.0,17.0,19.0,19.0,15.0,11
Depreciation,30.0,29.0,28.0,31.0,44.0,49.0,47.0,48.0,72.0,90
Profit before tax,31.0,34.0,82.0,113.0,98.0,81.0,158.0,319.0,173.0,150
Tax %,31.0,22.0,13.0,33.0,26.0,13.0,20.0,19.0,28.0,
Net Profit,21.0,27.0,72.0,76.0,72.0,70.0,127.0,257.0,125.0,101
EPS in Rs,21.12,26.56,71.5,75.63,14.46,15.57,4.82,9.76,4.7,3.79
