,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15,18,18,18,18,18,20,20,20,20,20,20,20.0
Reserves,9,6,9,9,18,23,24,30,34,48,48,22,21.0
Preference Capital,0,0,0,0,3,0,0,0,0,0,0,0,
Borrowings,3,3,5,11,11,8,22,12,17,13,18,13,13.0
Other Liabilities,7,9,10,15,19,42,43,88,58,61,56,63,64.0
Total Liabilities,34,35,41,53,65,91,109,150,129,141,142,117,118.0
Fixed Assets,5,4,5,4,5,14,15,18,12,7,2,2,28.0
CWIP,0,0,0,0,10,8,9,2,15,26,26,26,0.0
Investments,8,7,7,7,7,7,7,7,7,1,1,1,1.0
Other Assets,21,24,29,42,44,62,78,123,96,107,113,89,90.0
Total Assets,34,35,41,53,65,91,109,150,129,141,142,117,118.0
