,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,3893.0,4912.0,5728.0,6297.0,2277.0,2994.0,2313
Expenses,3555.0,4477.0,5174.0,5270.0,2256.0,3557.0,2864
Operating Profit,338.0,436.0,554.0,1027.0,21.0,-563.0,-551
OPM %,9.0,9.0,10.0,16.0,1.0,-19.0,-24
Other Income,85.0,12.0,10.0,-55.0,9.0,-942.0,-762
Interest,123.0,108.0,117.0,306.0,350.0,322.0,262
Depreciation,89.0,154.0,207.0,702.0,598.0,613.0,471
Profit before tax,210.0,186.0,240.0,-36.0,-918.0,-2440.0,-2046
Tax %,49.0,32.0,19.0,-50.0,1.0,-3.0,
Net Profit,76.0,126.0,189.0,-53.0,-933.0,-2549.0,-2135
EPS in Rs,4.01,6.62,9.71,-2.63,-46.26,-126.32,-105.81
