,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3549.0,4012.0,4352.0,4234.0,6033.0,7520.0,6912.0,11163.0,11517.0,12183.0,16026.0,17876.0,19023
Expenses,4391.0,4191.0,4578.0,4456.0,5269.0,6601.0,7174.0,9494.0,9745.0,10594.0,15010.0,16612.0,17690
Operating Profit,-842.0,-178.0,-225.0,-221.0,764.0,919.0,-262.0,1669.0,1772.0,1589.0,1016.0,1264.0,1333
OPM %,-24.0,-4.0,-5.0,-5.0,13.0,12.0,-4.0,15.0,15.0,13.0,6.0,7.0,7
Other Income,498.0,586.0,817.0,992.0,0.0,-2.0,1569.0,-2.0,15.0,495.0,809.0,991.0,988
Interest,7.0,8.0,9.0,12.0,0.0,0.0,59.0,70.0,0.0,0.0,0.0,0.0,0
Depreciation,45.0,49.0,50.0,54.0,57.0,7.0,51.0,0.0,90.0,130.0,141.0,142.0,0
Profit before tax,-395.0,351.0,533.0,705.0,708.0,910.0,1196.0,1598.0,1697.0,1954.0,1684.0,2113.0,2321
Tax %,-5.0,-0.0,3.0,17.0,28.0,23.0,28.0,34.0,30.0,25.0,24.0,18.0,
Net Profit,-416.0,353.0,520.0,585.0,507.0,702.0,862.0,1049.0,1194.0,1473.0,1271.0,1729.0,1757
EPS in Rs,-9.54,8.07,11.69,13.11,11.34,15.56,18.98,23.1,26.27,32.4,25.89,35.21,35.78
