,Mar 2008,Mar 2009,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,953.0,1323.0,1105.0,42.0,109.0,229.0,287.0,701.0,538.0,629.0,839.0,928
Expenses,831.0,1326.0,1565.0,52.0,108.0,223.0,258.0,624.0,488.0,562.0,753.0,820
Operating Profit,122.0,-3.0,-460.0,-9.0,1.0,5.0,28.0,77.0,50.0,67.0,85.0,108
OPM %,13.0,-0.0,-42.0,-21.0,1.0,2.0,10.0,11.0,9.0,11.0,10.0,12
Other Income,8.0,9.0,-41.0,1.0,1.0,2.0,2.0,15.0,23.0,16.0,7.0,8
Interest,39.0,98.0,91.0,8.0,7.0,9.0,10.0,33.0,33.0,39.0,42.0,42
Depreciation,28.0,49.0,47.0,3.0,2.0,3.0,2.0,51.0,56.0,59.0,67.0,71
Profit before tax,63.0,-140.0,-639.0,-19.0,-7.0,-5.0,18.0,9.0,-15.0,-15.0,-17.0,2
Tax %,36.0,33.0,35.0,-81.0,26.0,18.0,47.0,-1.0,16.0,21.0,24.0,
Net Profit,41.0,-94.0,-415.0,-35.0,-5.0,-4.0,10.0,9.0,-13.0,-12.0,-13.0,2
EPS in Rs,18.14,-42.19,-185.42,-15.55,-2.35,-1.93,4.13,2.57,-3.76,-3.4,-3.73,0.62
