,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,48.0,80.0,82.0,133.0,142.0,136.0,248.0,121.0,158
Expenses,41.0,68.0,71.0,120.0,141.0,117.0,227.0,116.0,147
Operating Profit,7.0,12.0,11.0,12.0,1.0,19.0,21.0,5.0,12
OPM %,14.0,15.0,13.0,9.0,1.0,14.0,8.0,4.0,7
Other Income,3.0,2.0,4.0,4.0,3.0,4.0,6.0,3.0,4
Interest,4.0,2.0,2.0,4.0,6.0,6.0,5.0,3.0,4
Depreciation,8.0,10.0,8.0,12.0,14.0,12.0,10.0,9.0,8
Profit before tax,-2.0,2.0,5.0,1.0,-15.0,5.0,11.0,-5.0,3
Tax %,-128.0,60.0,5.0,61.0,4.0,-41.0,18.0,-9.0,
Net Profit,-6.0,1.0,4.0,1.0,-15.0,7.0,9.0,-5.0,3
EPS in Rs,-2.26,0.24,1.74,0.22,-5.86,2.77,3.75,-2.02,1.22
