,Mar 2011,Mar 2012,Mar 2013,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.0,42.0,54.0,130.0,207.0,159.0,137.0,109.0,105.0,115
Expenses,33.0,38.0,51.0,122.0,199.0,154.0,133.0,111.0,97.0,106
Operating Profit,3.0,4.0,3.0,8.0,8.0,5.0,5.0,-2.0,8.0,9
OPM %,9.0,9.0,6.0,6.0,4.0,3.0,4.0,-2.0,8.0,8
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,2.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,1
Depreciation,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4
Profit before tax,0.0,1.0,2.0,4.0,3.0,1.0,0.0,-6.0,3.0,4
Tax %,33.0,0.0,50.0,24.0,2.0,28.0,-200.0,24.0,29.0,
Net Profit,0.0,1.0,1.0,3.0,3.0,0.0,0.0,-5.0,2.0,3
EPS in Rs,0.03,0.94,1.22,0.18,0.14,0.02,0.02,-0.19,0.1,0.13
