,2011-03-01,2012-03-01,2013-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,7,9,9,9,9,23,23
Reserves,3,4,5,10,20,20,21,16,5,7
Borrowings,14,13,11,20,28,29,23,15,18,17
Other Liabilities,7,8,9,27,35,25,31,17,17,20
Total Liabilities,27,28,29,64,93,83,84,57,63,67
Fixed Assets,15,13,12,18,20,22,19,19,21,25
CWIP,0,0,0,0,0,0,0,0,0,1
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,13,15,17,46,73,61,66,38,42,41
Total Assets,27,28,29,64,93,83,84,57,63,67
