,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2928.0,3404.0,3961.0,4254.0,2960.0,4462.0,4969.0,5612.0,5512.0,6355.0,7773.0,9202.0,9586
Expenses,2456.0,2868.0,3373.0,3588.0,2498.0,3700.0,4182.0,4827.0,4676.0,5071.0,6531.0,8002.0,8125
Operating Profit,472.0,536.0,589.0,666.0,462.0,762.0,787.0,785.0,835.0,1284.0,1242.0,1200.0,1461
OPM %,16.0,16.0,15.0,16.0,16.0,17.0,16.0,14.0,15.0,20.0,16.0,13.0,15
Other Income,6.0,3.0,6.0,5.0,-4.0,8.0,38.0,89.0,32.0,163.0,224.0,183.0,169
Interest,58.0,55.0,79.0,60.0,32.0,34.0,21.0,26.0,20.0,22.0,5.0,8.0,8
Depreciation,72.0,82.0,102.0,139.0,105.0,154.0,167.0,184.0,206.0,213.0,230.0,263.0,281
Profit before tax,347.0,401.0,414.0,472.0,322.0,582.0,637.0,664.0,641.0,1212.0,1232.0,1111.0,1341
Tax %,33.0,33.0,34.0,34.0,37.0,35.0,32.0,32.0,27.0,19.0,21.0,22.0,
Net Profit,242.0,290.0,283.0,322.0,221.0,430.0,432.0,449.0,467.0,978.0,968.0,865.0,1028
EPS in Rs,19.03,22.84,22.31,25.38,17.43,33.88,33.99,35.32,36.8,77.0,76.24,68.12,80.94
