,Mar 2012,Mar 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,170.0,127.0,119.0,166.0,130.0,110.0,60.0,71.0,61.0,86.0,194.0,93.0,91
Expenses,155.0,99.0,111.0,139.0,110.0,87.0,63.0,73.0,65.0,67.0,93.0,76.0,79
Operating Profit,15.0,28.0,8.0,28.0,20.0,23.0,-4.0,-2.0,-4.0,20.0,101.0,17.0,12
OPM %,9.0,22.0,7.0,17.0,16.0,21.0,-6.0,-3.0,-6.0,23.0,52.0,18.0,14
Other Income,16.0,3.0,25.0,4.0,8.0,-2.0,4.0,1.0,-30.0,0.0,-4.0,-4.0,-6
Interest,30.0,19.0,27.0,24.0,15.0,19.0,10.0,7.0,20.0,26.0,20.0,12.0,8
Depreciation,9.0,12.0,9.0,11.0,9.0,10.0,11.0,7.0,8.0,8.0,17.0,14.0,14
Profit before tax,-8.0,0.0,-3.0,-3.0,4.0,-8.0,-20.0,-15.0,-62.0,-14.0,59.0,-13.0,-16
Tax %,0.0,0.0,-45.0,-31.0,-5.0,19.0,5.0,59.0,-1.0,29.0,35.0,0.0,
Net Profit,-8.0,-1.0,-5.0,-5.0,4.0,-7.0,-19.0,-6.0,-63.0,-10.0,38.0,-13.0,-16
EPS in Rs,-3.2,-0.33,-3.05,-2.29,1.67,-2.51,-6.14,-1.97,-21.1,-4.03,13.59,-4.3,-5.32
