,Mar 2007,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.33,3.02,3.85,1.79,4.73,2.55,4.61,11.99,12.68,11.19,7.79,8.37
Expenses,0.55,2.65,3.34,1.68,4.6,2.36,4.53,11.84,11.89,10.49,7.85,10.48
Operating Profit,-0.22,0.37,0.51,0.11,0.13,0.19,0.08,0.15,0.79,0.7,-0.06,-2.11
OPM %,-66.67,12.25,13.25,6.15,2.75,7.45,1.74,1.25,6.23,6.26,-0.77,-25.21
Other Income,0.0,0.06,0.09,0.11,0.15,0.09,0.04,0.0,0.0,0.0,0.01,0.00
Interest,1.24,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.03,0.17,0.4,0.14
Depreciation,0.14,0.18,0.06,0.05,0.07,0.08,0.09,0.11,0.1,0.12,0.12,0.12
Profit before tax,-1.6,0.25,0.54,0.17,0.2,0.18,0.02,0.04,0.66,0.41,-0.57,-2.37
Tax %,0.0,12.0,0.0,-5.88,5.0,0.0,-100.0,-25.0,4.55,31.71,-3.51,
Net Profit,-1.6,0.23,0.54,0.17,0.19,0.18,0.04,0.05,0.63,0.28,-0.59,-2.33
EPS in Rs,-3.02,0.43,1.02,0.32,0.36,0.34,0.08,0.09,1.19,0.53,-1.11,-4.40
