,Sep 2011,Sep 2012,Sep 2013,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,958.0,881.0,727.0,638.0,802.0,398.0,398.0,364.0,298.0,326.0,299.0,322.0,340
Expenses,914.0,823.0,749.0,623.0,741.0,350.0,323.0,282.0,263.0,305.0,276.0,356.0,369
Operating Profit,43.0,58.0,-23.0,16.0,61.0,48.0,76.0,82.0,35.0,20.0,23.0,-34.0,-29
OPM %,5.0,7.0,-3.0,2.0,8.0,12.0,19.0,22.0,12.0,6.0,8.0,-11.0,-9
Other Income,7.0,8.0,47.0,32.0,-5.0,4.0,9.0,25.0,10.0,25.0,33.0,128.0,131
Interest,17.0,32.0,42.0,49.0,91.0,70.0,77.0,82.0,88.0,79.0,71.0,55.0,52
Depreciation,16.0,18.0,18.0,17.0,34.0,36.0,33.0,27.0,23.0,23.0,22.0,19.0,18
Profit before tax,17.0,17.0,-36.0,-19.0,-69.0,-54.0,-26.0,-2.0,-65.0,-57.0,-38.0,20.0,31
Tax %,25.0,28.0,-7.0,33.0,-5.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,13.0,12.0,-38.0,-12.0,-72.0,-80.0,-26.0,-2.0,-65.0,-57.0,-38.0,20.0,31
EPS in Rs,3.36,3.19,-10.06,-3.25,-18.83,-20.89,-6.78,-0.56,-17.19,-15.04,-10.0,4.26,6.83
