,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9599.0,10994.0,13354.0,15215.0,20234.0,19798.0,27660.0,28343.0,33066.0,35821.0,41007.0,41207
Expenses,12297.0,14403.0,17107.0,18195.0,20692.0,24590.0,27944.0,29406.0,30931.0,35644.0,39728.0,40111
Operating Profit,-2698.0,-3409.0,-3753.0,-2980.0,-458.0,-4793.0,-284.0,-1063.0,2136.0,177.0,1279.0,1097
OPM %,-28.0,-31.0,-28.0,-20.0,-2.0,-24.0,-1.0,-4.0,6.0,0.0,3.0,3
Other Income,3826.0,4392.0,5487.0,4063.0,1704.0,7601.0,1050.0,2816.0,27.0,87.0,60.0,37
Interest,3.0,2.0,3.0,4.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,43.0,38.0,28.0,34.0,47.0,74.0,90.0,93.0,103.0,87.0,82.0,0
Profit before tax,1082.0,943.0,1703.0,1045.0,1194.0,2722.0,677.0,1659.0,2060.0,178.0,1256.0,1134
Tax %,16.0,15.0,19.0,11.0,14.0,20.0,11.0,13.0,21.0,-0.0,16.0,
Net Profit,928.0,830.0,1412.0,959.0,1050.0,2190.0,610.0,1447.0,1645.0,198.0,1050.0,945
EPS in Rs,22.92,20.75,35.4,24.03,26.15,13.29,3.67,8.75,9.95,1.18,6.36,5.75
